id,name,iso3,geometry,lat,lon,export,import,trans,throughput
port505,Itajai_Brazil,BRA,POINT (-48.66739362744734 -26.89391722362228),-26.893917223622278,-48.66739362744734,3286884007.3852463,7152925733.471534,5788374591.605139,16228184332.46192
port1281,Teluk Bayur_Indonesia,IDN,POINT (100.3880034407198 -1.021178175282665),-1.021178175282665,100.38800344071983,3279420835.4135017,1162145641.8548696,54646308.479373686,4496212785.7477455
port477,Hopa_Turkey,TUR,POINT (41.43080032842389 41.41066171185562),41.41066171185562,41.430800328423885,3275854393.8686557,1848139818.514034,781175.2732768178,5124775387.655967
port376,Garlston_United Kingdom,GBR,POINT (-2.893067213985894 53.29145841460292),53.29145841460292,-2.8930672139858937,3270971412.5748305,1221614005.879302,194044763.78101647,4686630182.235148
port287,Derince Burnu_Turkey,TUR,POINT (29.77991916285893 40.75824677394927),40.758246773949274,29.779919162858928,3268692795.0557356,5709790252.354655,13855988303.932362,22834471351.34275
port920,Point Richmond_U.S.A.,USA,POINT (-122.3770930339375 37.92353428166407),37.92353428166407,-122.37709303393753,3244283536.5039754,10403449545.870428,558387346.1819301,14206120428.556334
port711,Marsaxlokk_Malta,MLT,POINT (14.5379616882422 35.8216340000224),35.8216340000224,14.537961688242202,3191294936.751116,10170189908.057543,109645705481.78467,123007190326.59332
port1259,Tampa_U.S.A.,USA,POINT (-82.41979138966131 27.89834074972568),27.898340749725676,-82.41979138966131,3167585813.1566634,4493493773.580804,4632579856.7040825,12293659443.44155
port84,Avonmouth_United Kingdom,GBR,POINT (-2.708767368142706 51.49812081655021),51.498120816550205,-2.708767368142706,3161569211.792152,7445190903.685268,110035499.43877412,10716795614.916195
port483,Huelva_Spain,ESP,POINT (-6.914657869368037 37.1931289090272),37.1931289090272,-6.914657869368037,3148956009.479999,3762040509.5030513,3882882615.915868,10793879134.898918
port1200,Sines_Portugal,PRT,POINT (-8.830416370244496 37.95680932412149),37.95680932412149,-8.830416370244496,3147972892.1033864,3395656998.7471905,25417317387.78689,31960947278.637466
